Date,Origin_Time(JST),Latitude(°),Longitude(°),JMA_Depth(km),JMA_Magnitude(Mj),Region_Name,Strike,Dip,Rake,Mo(Nm),MT_Depth(km),MT_Magnitude(Mw),Var._Red.,mxx,mxy,mxz,myy,myz,mzz,Unit(Nm),Number_of_Stations
2003/09/26,04:50:07.64,41.7797,144.0785,42.00,8.0,SE_OFF_TOKACHI,31;249,78;15,81;127,8.21e+20,23,7.9,87.14,-1.9880,2.0378,3.5813,-1.2744,-6.5073,3.2624,1e+20,3
2011/03/11,14:46:18.12,38.1035,142.8610,23.74,9.0,FAR_E_OFF_MIYAGI_PREF,22;200,63;27,91;88,1.07e+22,20,8.7,71.75,-0.0677,0.3149,0.2529,-0.7636,-0.5946,0.8313,1e+22,3
